curve_type,x,y_tcAD,y_compact
transfer,-0.1,2.81984823232152e-09,2.81984823232152e-09
transfer,-0.082,4.22464724459246e-09,4.22464724459246e-09
transfer,-0.064,6.50497614892427e-09,6.50497614892427e-09
transfer,-0.046,1.03214752166354e-08,1.03214752166354e-08
transfer,-0.028,1.68908400581757e-08,1.68908400581757e-08
transfer,-0.01,2.84992442406538e-08,2.84992442406538e-08
transfer,0.00800000000000001,4.94634692673452e-08,4.94634692673452e-08
transfer,0.026,8.79504544017246e-08,8.79504544017246e-08
transfer,0.044,1.59400777888261e-07,1.59400777888261e-07
transfer,0.062,2.92761679367794e-07,2.92761679367794e-07
transfer,0.08,5.41345396310916e-07,5.41345396310916e-07
transfer,0.098,1.0000429315447e-06,1.0000429315447e-06
transfer,0.116,1.82851565951046e-06,1.82851565951046e-06
transfer,0.134,3.27281196325723e-06,3.27281196325723e-06
transfer,0.152,5.66706601524946e-06,5.66706601524946e-06
transfer,0.17,9.29453303096217e-06,9.29453303096217e-06
transfer,0.188,1.42116481970035e-05,1.42116481970035e-05
transfer,0.206,2.04362839628214e-05,2.04362839628214e-05
transfer,0.224,2.79576024852873e-05,2.79576024852873e-05
transfer,0.242,3.65798014566579e-05,3.65798014566579e-05
transfer,0.26,4.61265993538349e-05,4.61265993538349e-05
transfer,0.278,5.63592824661511e-05,5.63592824661511e-05
transfer,0.296,6.70939061067516e-05,6.70939061067516e-05
transfer,0.314,7.8145137380046e-05,7.8145137380046e-05
transfer,0.332,8.93413779955162e-05,8.93413779955162e-05
transfer,0.35,0.000100541732103051,0.000100541732103051
transfer,0.368,0.000111627371885755,0.000111627371885755
transfer,0.386,0.000122496806420316,0.000122496806420316
transfer,0.404,0.000133064341923812,0.000133064341923812
transfer,0.422,0.000143263580078445,0.000143263580078445
transfer,0.44,0.000153042351218273,0.000153042351218273
transfer,0.458,0.000162361566454568,0.000162361566454568
transfer,0.476,0.00017120651293899,0.00017120651293899
transfer,0.494,0.000179571875430131,0.000179571875430131
transfer,0.512,0.000187460540898856,0.000187460540898856
transfer,0.53,0.000194890170392347,0.000194890170392347
transfer,0.548,0.000201883667379271,0.000201883667379271
transfer,0.566,0.000208467778720898,0.000208467778720898
transfer,0.584,0.000214673587344723,0.000214673587344723
transfer,0.602,0.000220531993468698,0.000220531993468698
transfer,0.62,0.000226071351949405,0.000226071351949405
transfer,0.638,0.000231320847263512,0.000231320847263512
transfer,0.656,0.00023630497334594,0.00023630497334594
transfer,0.674,0.000241045806796906,0.000241045806796906
transfer,0.692,0.000245564135122256,0.000245564135122256
transfer,0.71,0.000249876908502143,0.000249876908502143
transfer,0.728,0.000253997181087027,0.000253997181087027
transfer,0.746,0.000257934438235283,0.000257934438235283
transfer,0.764,0.000261695664793344,0.000261695664793344
transfer,0.782,0.000265284088843079,0.000265284088843079
transfer,0.8,0.000268701103806106,0.000268701103806106
output,0.0,1.4725998438743e-20,1.4725998438743e-20
output,0.02,3.44364228059673e-05,3.44364228059673e-05
output,0.04,6.3453488902459e-05,6.3453488902459e-05
output,0.06,8.86864352863588e-05,8.86864352863588e-05
output,0.08,0.000110937189197705,0.000110937189197705
output,0.1,0.000130670779278794,0.000130670779278794
output,0.12,0.000148200052568665,0.000148200052568665
output,0.14,0.000163736319563706,0.000163736319563706
output,0.16,0.000177480956922708,0.000177480956922708
output,0.18,0.000189634468890346,0.000189634468890346
output,0.2,0.000200391911704532,0.000200391911704532
output,0.22,0.000209934564147946,0.000209934564147946
output,0.24,0.000218419848234436,0.000218419848234436
output,0.26,0.00022598657545085,0.00022598657545085
output,0.28,0.000232757995613939,0.000232757995613939
output,0.3,0.000238842989837362,0.000238842989837362
output,0.32,0.00024433833962543,0.00024433833962543
output,0.34,0.000249328837110841,0.000249328837110841
output,0.36,0.00025388670592049,0.00025388670592049
output,0.38,0.000258073903656839,0.000258073903656839
output,0.4,0.000261943886219054,0.000261943886219054
output,0.42,0.000265540991282499,0.000265540991282499
output,0.44,0.000268897087853209,0.000268897087853209
output,0.46,0.000272035942186655,0.000272035942186655
output,0.48,0.000274976969003749,0.000274976969003749
output,0.5,0.000277735708861698,0.000277735708861698
output,0.52,0.000280324228229435,0.000280324228229435
output,0.54,0.000282752080235088,0.000282752080235088
output,0.56,0.000285026451680694,0.000285026451680694
output,0.58,0.000287154184185707,0.000287154184185707
output,0.6,0.000289139987486912,0.000289139987486912
output,0.62,0.000290988975698199,0.000290988975698199
output,0.64,0.000292704866263564,0.000292704866263564
output,0.66,0.000294291820906506,0.000294291820906506
output,0.68,0.000295754723300372,0.000295754723300372
output,0.7,0.000297098477043499,0.000297098477043499
output,0.72,0.000298328243027154,0.000298328243027154
output,0.74,0.000299449188446528,0.000299449188446528
output,0.76,0.00030046631315016,0.00030046631315016
output,0.78,0.000301384199612049,0.000301384199612049
output,0.8,0.000302207113452259,0.000302207113452259
output,0.82,0.000302939038776364,0.000302939038776364
output,0.84,0.00030358441645324,0.00030358441645324
output,0.86,0.000304148516253072,0.000304148516253072
output,0.88,0.000304637715933781,0.000304637715933781
output,0.9,0.000305059259413511,0.000305059259413511
output,0.92,0.000305421221177408,0.000305421221177408
output,0.940000000000001,0.000305732012064579,0.000305732012064579
output,0.960000000000001,0.000306000060204678,0.000306000060204678
output,0.980000000000001,0.000306233287400984,0.000306233287400984
output,1.0,0.000306438751718277,0.00030643875171827695
