curve_type,x,y_tcAD,y_compact
transfer,-1.0,2.46217181059235e-17,2.46217181059235e-17
transfer,-0.9,2.2749604707272e-17,2.2749604707272e-17
transfer,-0.8,2.29249840690674e-17,2.29249840690674e-17
transfer,-0.7,2.52077697109399e-17,2.52077697109399e-17
transfer,-0.6,2.55359632341451e-17,2.55359632341451e-17
transfer,-0.5,3.65840176252397e-17,3.65840176252397e-17
transfer,-0.4,1.58311644209777e-16,1.58311644209777e-16
transfer,-0.3,1.37418236495039e-15,1.37418236495039e-15
transfer,-0.2,1.45853368927465e-14,1.45853368927465e-14
transfer,-0.1,1.68918198487961e-13,1.68918198487961e-13
transfer,-1.11022302462516e-16,2.09363557692523e-12,2.09363557692523e-12
transfer,0.0999999999999999,2.75621170618672e-11,2.75621170618672e-11
transfer,0.2,3.82420236693977e-10,3.82420236693977e-10
transfer,0.3,5.53210822109241e-09,5.53210822109241e-09
transfer,0.4,8.01895821754355e-08,8.01895821754355e-08
transfer,0.5,9.22867244066756e-07,9.22867244066756e-07
transfer,0.6,4.63149474263037e-06,4.63149474263037e-06
transfer,0.7,1.02055318151663e-05,1.02055318151663e-05
transfer,0.8,1.53626589406366e-05,1.53626589406366e-05
transfer,0.9,1.96372378485841e-05,1.96372378485841e-05
transfer,1.0,2.31527891260635e-05,2.31527891260635e-05
transfer,1.1,2.60887586398118e-05,2.60887586398118e-05
transfer,1.2,2.85889321187111e-05,2.85889321187111e-05
transfer,1.3,3.07579066494816e-05,3.07579066494816e-05
transfer,1.4,3.26705449708336e-05,3.26705449708336e-05
transfer,1.5,3.43807606939007e-05,3.438076069390069e-05
output,0.0,-1.25931556844449e-19,0.0
output,0.05,3.43807606938888e-05,3.43807606938888e-05
output,0.1,6.59855917252208e-05,6.59855917252208e-05
output,0.15,9.47527640777306e-05,9.47527640777306e-05
output,0.2,0.000120685974341018,0.000120685974341018
output,0.25,0.000143812962795424,0.000143812962795424
output,0.3,0.00016417735728647,0.00016417735728647
output,0.35,0.000181839313544619,0.000181839313544619
output,0.4,0.000196881182724975,0.000196881182724975
output,0.45,0.00020941700277069,0.00020941700277069
output,0.5,0.000219604815397463,0.000219604815397463
output,0.55,0.000227659263372022,0.000227659263372022
output,0.6,0.000233858336898804,0.000233858336898804
output,0.65,0.000238534040497992,0.000238534040497992
output,0.7,0.000242041075582865,0.000242041075582865
output,0.75,0.000244717293247607,0.000244717293247607
output,0.8,0.000246848137565499,0.000246848137565499
output,0.85,0.000248632176203985,0.000248632176203985
output,0.9,0.000250182781788509,0.000250182781788509
output,0.95,0.000251562661004075,0.000251562661004075
output,1.0,0.000252808820796642,0.000252808820796642
output,1.05,0.000253942557755621,0.000253942557755621
output,1.1,0.000254975689552298,0.000254975689552298
output,1.15,0.000255917504814314,0.000255917504814314
output,1.2,0.000256780301225588,0.000256780301225588
output,1.25,0.000257578672219204,0.000257578672219204
output,1.3,0.000258324731477553,0.000258324731477553
output,1.35,0.000259026479374845,0.000259026479374845
output,1.4,0.00025968974107691,0.00025968974107691
output,1.45,0.00026031995099481,0.00026031995099481
output,1.5,0.000260922064550687,0.000260922064550687
